Job started on u040233.si.ehu.es
Date: Sat May  9 02:00:38 AM CEST 2026
CUDA_VISIBLE_DEVICES=2
trainable params: 4,718,592 || all params: 619,792,384 || trainable%: 0.7613
{'loss': '9.917', 'grad_norm': '0.3007', 'learning_rate': '5.936e-06', 'epoch': '0.002271'}
{'loss': '9.775', 'grad_norm': '0.4624', 'learning_rate': '1.199e-05', 'epoch': '0.004543'}
{'loss': '9.726', 'grad_norm': '0.5594', 'learning_rate': '1.805e-05', 'epoch': '0.006814'}
{'loss': '9.321', 'grad_norm': '0.8597', 'learning_rate': '2.411e-05', 'epoch': '0.009086'}
{'loss': '8.111', 'grad_norm': '0.7208', 'learning_rate': '3.016e-05', 'epoch': '0.01136'}
{'loss': '7.082', 'grad_norm': '0.5987', 'learning_rate': '3.622e-05', 'epoch': '0.01363'}
{'loss': '6.749', 'grad_norm': '0.5016', 'learning_rate': '4.228e-05', 'epoch': '0.0159'}
{'loss': '6.637', 'grad_norm': '0.4884', 'learning_rate': '4.833e-05', 'epoch': '0.01817'}
{'loss': '6.502', 'grad_norm': '0.4552', 'learning_rate': '5.439e-05', 'epoch': '0.02044'}
{'loss': '6.597', 'grad_norm': '0.5135', 'learning_rate': '6.045e-05', 'epoch': '0.02271'}
{'loss': '6.53', 'grad_norm': '0.5686', 'learning_rate': '6.651e-05', 'epoch': '0.02499'}
{'loss': '6.417', 'grad_norm': '0.5138', 'learning_rate': '7.256e-05', 'epoch': '0.02726'}
{'loss': '6.45', 'grad_norm': '0.5258', 'learning_rate': '7.862e-05', 'epoch': '0.02953'}
{'loss': '6.394', 'grad_norm': '0.5726', 'learning_rate': '8.468e-05', 'epoch': '0.0318'}
{'loss': '6.424', 'grad_norm': '0.5726', 'learning_rate': '9.073e-05', 'epoch': '0.03407'}
{'loss': '6.359', 'grad_norm': '0.5868', 'learning_rate': '9.679e-05', 'epoch': '0.03634'}
{'loss': '6.414', 'grad_norm': '0.6161', 'learning_rate': '0.0001028', 'epoch': '0.03862'}
{'loss': '6.385', 'grad_norm': '0.5618', 'learning_rate': '0.0001089', 'epoch': '0.04089'}
{'loss': '6.37', 'grad_norm': '0.5601', 'learning_rate': '0.000115', 'epoch': '0.04316'}
{'loss': '6.329', 'grad_norm': '0.6094', 'learning_rate': '0.000121', 'epoch': '0.04543'}
{'loss': '6.175', 'grad_norm': '0.6551', 'learning_rate': '0.0001271', 'epoch': '0.0477'}
{'loss': '6.307', 'grad_norm': '0.7065', 'learning_rate': '0.0001331', 'epoch': '0.04997'}
{'loss': '6.193', 'grad_norm': '0.6007', 'learning_rate': '0.0001392', 'epoch': '0.05224'}
{'loss': '6.319', 'grad_norm': '0.6789', 'learning_rate': '0.0001452', 'epoch': '0.05452'}
{'loss': '6.171', 'grad_norm': '0.6387', 'learning_rate': '0.0001513', 'epoch': '0.05679'}
{'loss': '6.196', 'grad_norm': '0.6278', 'learning_rate': '0.0001574', 'epoch': '0.05906'}
{'loss': '6.184', 'grad_norm': '0.6436', 'learning_rate': '0.0001634', 'epoch': '0.06133'}
{'loss': '6.175', 'grad_norm': '0.6106', 'learning_rate': '0.0001695', 'epoch': '0.0636'}
{'loss': '6.154', 'grad_norm': '0.5854', 'learning_rate': '0.0001755', 'epoch': '0.06587'}
{'loss': '6.243', 'grad_norm': '0.6172', 'learning_rate': '0.0001816', 'epoch': '0.06814'}
{'loss': '6.286', 'grad_norm': '0.6888', 'learning_rate': '0.0001876', 'epoch': '0.07042'}
{'loss': '6.376', 'grad_norm': '0.6061', 'learning_rate': '0.0001937', 'epoch': '0.07269'}
{'loss': '6.366', 'grad_norm': '0.6308', 'learning_rate': '0.0001998', 'epoch': '0.07496'}
{'loss': '6.325', 'grad_norm': '0.6034', 'learning_rate': '0.0002', 'epoch': '0.07723'}
{'loss': '6.276', 'grad_norm': '0.6319', 'learning_rate': '0.0002', 'epoch': '0.0795'}
{'loss': '6.327', 'grad_norm': '0.667', 'learning_rate': '0.0002', 'epoch': '0.08177'}
{'loss': '6.126', 'grad_norm': '0.5862', 'learning_rate': '0.0002', 'epoch': '0.08405'}
{'loss': '6.222', 'grad_norm': '0.6034', 'learning_rate': '0.0002', 'epoch': '0.08632'}
{'loss': '6.38', 'grad_norm': '0.6458', 'learning_rate': '0.0002', 'epoch': '0.08859'}
{'loss': '6.191', 'grad_norm': '0.6498', 'learning_rate': '0.0001999', 'epoch': '0.09086'}
{'eval_loss': '2.255', 'eval_bleu': '13.87', 'eval_runtime': '151.8', 'eval_samples_per_second': '6.568', 'eval_steps_per_second': '0.824', 'epoch': '0.09086'}
{'loss': '6.322', 'grad_norm': '0.5382', 'learning_rate': '0.0001999', 'epoch': '0.09313'}
{'loss': '6.214', 'grad_norm': '0.6299', 'learning_rate': '0.0001999', 'epoch': '0.0954'}
{'loss': '6.273', 'grad_norm': '0.6293', 'learning_rate': '0.0001999', 'epoch': '0.09767'}
{'loss': '6.148', 'grad_norm': '0.6369', 'learning_rate': '0.0001998', 'epoch': '0.09995'}
{'loss': '6.138', 'grad_norm': '0.5843', 'learning_rate': '0.0001998', 'epoch': '0.1022'}
{'loss': '6.235', 'grad_norm': '0.6042', 'learning_rate': '0.0001998', 'epoch': '0.1045'}
{'loss': '6.201', 'grad_norm': '0.6143', 'learning_rate': '0.0001998', 'epoch': '0.1068'}
{'loss': '6.18', 'grad_norm': '0.6122', 'learning_rate': '0.0001997', 'epoch': '0.109'}
{'loss': '6.193', 'grad_norm': '0.5647', 'learning_rate': '0.0001997', 'epoch': '0.1113'}
{'loss': '6.242', 'grad_norm': '0.5816', 'learning_rate': '0.0001996', 'epoch': '0.1136'}
{'loss': '6.353', 'grad_norm': '0.6262', 'learning_rate': '0.0001996', 'epoch': '0.1158'}
{'loss': '6.274', 'grad_norm': '0.6578', 'learning_rate': '0.0001995', 'epoch': '0.1181'}
{'loss': '6.216', 'grad_norm': '0.7028', 'learning_rate': '0.0001995', 'epoch': '0.1204'}
{'loss': '6.194', 'grad_norm': '0.6052', 'learning_rate': '0.0001994', 'epoch': '0.1227'}
{'loss': '6.007', 'grad_norm': '0.5405', 'learning_rate': '0.0001994', 'epoch': '0.1249'}
{'loss': '6.232', 'grad_norm': '0.5691', 'learning_rate': '0.0001993', 'epoch': '0.1272'}
{'loss': '6.287', 'grad_norm': '0.5636', 'learning_rate': '0.0001993', 'epoch': '0.1295'}
{'loss': '6.123', 'grad_norm': '0.6285', 'learning_rate': '0.0001992', 'epoch': '0.1317'}
{'loss': '6.181', 'grad_norm': '0.5466', 'learning_rate': '0.0001992', 'epoch': '0.134'}
{'loss': '6.187', 'grad_norm': '0.6619', 'learning_rate': '0.0001991', 'epoch': '0.1363'}
{'loss': '6.242', 'grad_norm': '0.5802', 'learning_rate': '0.000199', 'epoch': '0.1386'}
{'loss': '6.168', 'grad_norm': '0.5881', 'learning_rate': '0.000199', 'epoch': '0.1408'}
{'loss': '6.063', 'grad_norm': '0.535', 'learning_rate': '0.0001989', 'epoch': '0.1431'}
{'loss': '6.089', 'grad_norm': '0.5549', 'learning_rate': '0.0001988', 'epoch': '0.1454'}
{'loss': '6.207', 'grad_norm': '0.6391', 'learning_rate': '0.0001987', 'epoch': '0.1476'}
{'loss': '6.317', 'grad_norm': '0.5266', 'learning_rate': '0.0001986', 'epoch': '0.1499'}
{'loss': '6.243', 'grad_norm': '0.5365', 'learning_rate': '0.0001986', 'epoch': '0.1522'}
{'loss': '6.263', 'grad_norm': '0.5829', 'learning_rate': '0.0001985', 'epoch': '0.1545'}
{'loss': '6.087', 'grad_norm': '0.6135', 'learning_rate': '0.0001984', 'epoch': '0.1567'}
{'loss': '6.036', 'grad_norm': '0.6056', 'learning_rate': '0.0001983', 'epoch': '0.159'}
{'loss': '6.142', 'grad_norm': '0.5809', 'learning_rate': '0.0001982', 'epoch': '0.1613'}
{'loss': '6.12', 'grad_norm': '0.5319', 'learning_rate': '0.0001981', 'epoch': '0.1635'}
{'loss': '6.233', 'grad_norm': '0.5791', 'learning_rate': '0.000198', 'epoch': '0.1658'}
{'loss': '6.166', 'grad_norm': '0.5279', 'learning_rate': '0.0001979', 'epoch': '0.1681'}
{'loss': '6.019', 'grad_norm': '0.6024', 'learning_rate': '0.0001978', 'epoch': '0.1704'}
{'loss': '6.207', 'grad_norm': '0.5433', 'learning_rate': '0.0001977', 'epoch': '0.1726'}
{'loss': '6.114', 'grad_norm': '0.5657', 'learning_rate': '0.0001976', 'epoch': '0.1749'}
{'loss': '6.284', 'grad_norm': '0.561', 'learning_rate': '0.0001975', 'epoch': '0.1772'}
{'loss': '6.179', 'grad_norm': '0.6243', 'learning_rate': '0.0001974', 'epoch': '0.1794'}
{'loss': '6.129', 'grad_norm': '0.6851', 'learning_rate': '0.0001972', 'epoch': '0.1817'}
