Job started on u040233.si.ehu.es
Date: Sun May 10 03:24:43 AM CEST 2026
CUDA_VISIBLE_DEVICES=5
trainable params: 4,718,592 || all params: 619,792,384 || trainable%: 0.7613
{'loss': 4.8426, 'grad_norm': 0.42862483859062195, 'learning_rate': 2.4106602059357968e-05, 'epoch': 0.01}
{'loss': 3.5731, 'grad_norm': 0.24357134103775024, 'learning_rate': 4.8334342822531805e-05, 'epoch': 0.02}
{'loss': 3.255, 'grad_norm': 0.26021242141723633, 'learning_rate': 7.256208358570563e-05, 'epoch': 0.03}
{'loss': 3.2024, 'grad_norm': 0.2969597578048706, 'learning_rate': 9.678982434887948e-05, 'epoch': 0.04}
{'loss': 3.1869, 'grad_norm': 0.3050776720046997, 'learning_rate': 0.00012101756511205331, 'epoch': 0.05}
{'loss': 3.1242, 'grad_norm': 0.3449428081512451, 'learning_rate': 0.00014524530587522712, 'epoch': 0.05}
{'loss': 3.0905, 'grad_norm': 0.3095899522304535, 'learning_rate': 0.00016947304663840097, 'epoch': 0.06}
{'loss': 3.1323, 'grad_norm': 0.31098130345344543, 'learning_rate': 0.0001937007874015748, 'epoch': 0.07}
{'loss': 3.1617, 'grad_norm': 0.3320174515247345, 'learning_rate': 0.00019998901400845176, 'epoch': 0.08}
{'loss': 3.115, 'grad_norm': 0.32610204815864563, 'learning_rate': 0.00019993926510241612, 'epoch': 0.09}
{'eval_loss': 2.2632992267608643, 'eval_chrf++': 42.9843, 'eval_runtime': 146.8613, 'eval_samples_per_second': 6.789, 'eval_steps_per_second': 0.851, 'epoch': 0.09}
{'loss': 3.1198, 'grad_norm': 0.3190591335296631, 'learning_rate': 0.00019984941702496745, 'epoch': 0.1}
{'loss': 3.0943, 'grad_norm': 0.309235543012619, 'learning_rate': 0.00019971950582633544, 'epoch': 0.11}
{'loss': 3.1328, 'grad_norm': 0.3282965123653412, 'learning_rate': 0.00019954958363149232, 'epoch': 0.12}
{'loss': 3.081, 'grad_norm': 0.27837249636650085, 'learning_rate': 0.00019933971861923867, 'epoch': 0.13}
{'loss': 3.0972, 'grad_norm': 0.33531972765922546, 'learning_rate': 0.00019908999499484745, 'epoch': 0.14}
{'loss': 3.0701, 'grad_norm': 0.2759479284286499, 'learning_rate': 0.0001988005129562779, 'epoch': 0.15}
{'loss': 3.1283, 'grad_norm': 0.29096516966819763, 'learning_rate': 0.0001984713886539729, 'epoch': 0.15}
{'loss': 3.0481, 'grad_norm': 0.2643173635005951, 'learning_rate': 0.0001981027541442547, 'epoch': 0.16}
{'loss': 3.0781, 'grad_norm': 0.2765269875526428, 'learning_rate': 0.00019769475733633982, 'epoch': 0.17}
{'loss': 3.0876, 'grad_norm': 0.3406498432159424, 'learning_rate': 0.00019724756193299236, 'epoch': 0.18}
{'eval_loss': 2.2279069423675537, 'eval_chrf++': 43.9262, 'eval_runtime': 176.002, 'eval_samples_per_second': 5.665, 'eval_steps_per_second': 0.71, 'epoch': 0.18}
{'loss': 3.0655, 'grad_norm': 0.3029107451438904, 'learning_rate': 0.00019676134736484064, 'epoch': 0.19}
{'loss': 3.055, 'grad_norm': 0.2925018072128296, 'learning_rate': 0.00019623630871838335, 'epoch': 0.2}
{'loss': 3.0251, 'grad_norm': 0.29221898317337036, 'learning_rate': 0.00019567265665771391, 'epoch': 0.21}
{'loss': 3.0441, 'grad_norm': 0.3356228470802307, 'learning_rate': 0.00019507061733999473, 'epoch': 0.22}
{'loss': 3.0264, 'grad_norm': 0.2753339409828186, 'learning_rate': 0.00019443043232471462, 'epoch': 0.23}
{'loss': 3.0681, 'grad_norm': 0.27423834800720215, 'learning_rate': 0.00019375235847676685, 'epoch': 0.24}
{'loss': 3.0487, 'grad_norm': 0.2837407886981964, 'learning_rate': 0.0001930366678633858, 'epoch': 0.25}
{'loss': 3.0478, 'grad_norm': 0.2999248206615448, 'learning_rate': 0.00019228364764498385, 'epoch': 0.25}
{'loss': 3.0418, 'grad_norm': 0.2694838047027588, 'learning_rate': 0.00019149359995993264, 'epoch': 0.26}
{'loss': 3.0695, 'grad_norm': 0.2868703603744507, 'learning_rate': 0.00019066684180333427, 'epoch': 0.27}
{'eval_loss': 2.17407488822937, 'eval_chrf++': 41.4916, 'eval_runtime': 166.1929, 'eval_samples_per_second': 5.999, 'eval_steps_per_second': 0.752, 'epoch': 0.27}
{'loss': 3.0112, 'grad_norm': 0.2871832847595215, 'learning_rate': 0.00018980370489983175, 'epoch': 0.28}
{'loss': 3.0216, 'grad_norm': 0.3058541417121887, 'learning_rate': 0.0001889045355705093, 'epoch': 0.29}
