Job started on u040233.si.ehu.es
Date: Sun May 10 01:53:36 PM CEST 2026
CUDA_VISIBLE_DEVICES=4
trainable params: 4,718,592 || all params: 619,792,384 || trainable%: 0.7613
{'loss': 4.8428, 'grad_norm': 0.42902854084968567, 'learning_rate': 2.4106602059357968e-05, 'epoch': 0.01}
{'loss': 3.5724, 'grad_norm': 0.24353577196598053, 'learning_rate': 4.8334342822531805e-05, 'epoch': 0.02}
{'loss': 3.256, 'grad_norm': 0.2603389024734497, 'learning_rate': 7.256208358570563e-05, 'epoch': 0.03}
{'loss': 3.2027, 'grad_norm': 0.2977040708065033, 'learning_rate': 9.678982434887948e-05, 'epoch': 0.04}
{'loss': 3.1868, 'grad_norm': 0.30471071600914, 'learning_rate': 0.00012101756511205331, 'epoch': 0.05}
{'loss': 3.1241, 'grad_norm': 0.36827507615089417, 'learning_rate': 0.00014524530587522712, 'epoch': 0.05}
{'loss': 3.0904, 'grad_norm': 0.301555871963501, 'learning_rate': 0.00016947304663840097, 'epoch': 0.06}
{'loss': 3.1324, 'grad_norm': 0.3123350739479065, 'learning_rate': 0.0001937007874015748, 'epoch': 0.07}
{'loss': 3.1617, 'grad_norm': 0.33851271867752075, 'learning_rate': 0.00019998901400845176, 'epoch': 0.08}
{'loss': 3.115, 'grad_norm': 0.32221898436546326, 'learning_rate': 0.00019993926510241612, 'epoch': 0.09}
{'eval_loss': 2.26513671875, 'eval_chrf++': 42.9205, 'eval_runtime': 124.6229, 'eval_samples_per_second': 8.0, 'eval_steps_per_second': 1.003, 'epoch': 0.09}
{'loss': 3.1198, 'grad_norm': 0.31970301270484924, 'learning_rate': 0.00019984941702496745, 'epoch': 0.1}
{'loss': 3.0944, 'grad_norm': 0.30399051308631897, 'learning_rate': 0.00019971950582633544, 'epoch': 0.11}
{'loss': 3.1327, 'grad_norm': 0.32791122794151306, 'learning_rate': 0.00019954958363149232, 'epoch': 0.12}
{'loss': 3.0813, 'grad_norm': 0.28140583634376526, 'learning_rate': 0.00019933971861923867, 'epoch': 0.13}
{'loss': 3.0974, 'grad_norm': 0.32553595304489136, 'learning_rate': 0.00019908999499484745, 'epoch': 0.14}
{'loss': 3.0708, 'grad_norm': 0.2751368582248688, 'learning_rate': 0.0001988005129562779, 'epoch': 0.15}
